AIN_2,AIN_3,AOUT_2,AOUT_3
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
-1,0,100,99
