AIN_2,AIN_3
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
0.0015,99
